questionid,topic,questionbody,optiona,optionb,optionc,optiond,correctoption,difficulty
MTH_SAV_40,1,"'A village, having a population of 4000, requires 150 litres of water per head per day. It has a tank measuring 20 m × 15 m × 6 m. For how many days will the water of this tank last?'",'2 days','1 day','3 days','4 days',C,5.3
MTH_SAV_41,1,'A godown measures 40 m × 25 m × 15 m. Find the maximum number of wooden crates each measuring 1.5 m × 1.25 m × 0.5 m that can be stored in the godown.','10645','10545','10345','10666',D,3.8
MTH_SAV_42,1,'A solid cube of side 12 cm is cut into eight cubes of equal volume. Find the ratio between the surface area of old cube and new cube.','0.167361111111111','0.125694444444444','0.04375','0.0423611111111111',A,5.7
MTH_SAV_44,1,'The circumference of the base of a cylindrical vessel is 132 cm and its height is 25 cm. How many litres of water can it hold? (1000 cm3 = 1 L)','32.00 L','35.45 L','34.50 L','34.65 L',D,4.2
MTH_SAV_47,1,"'If the lateral surface of a cylinder is 94.2 cm2and its height is 5 cm, then its volume. (Use ? = 3.14)'",'$145.0 cm^3$','$146.3 cm^3$','$141.3 cm^3$','$140.4 cm^3$',C,5
MTH_SAV_48,1,"'It costs Rs 2200 to paint the inner curved surface of a cylindrical vessel 10 m deep. If the cost of painting is at the rate of `20 per m2 , find capacity of the vessel'",'98340 L','98474 L','92474 L','96250 L',D,10.2
MTH_SAV_31,1,'Find the radius of a sphere whose surface area is 154 cm2.','3.3 cm','3.2 cm','3.5 cm','3.0 cm',C,2
MTH_SAV_24,1,'A joker’s cap is in the form of a right circular cone of base radius 7 cm and height 24 cm. Find the area of the sheet required to make 10 such caps.','$6600 cm^2$','$5550 cm^2$','$5500 cm^2$','$6000 cm^2$',C,6.4
MTH_SAV_45,1,"'The inner diameter of a cylindrical wooden pipe is 24 cm and its outer diameter is 28 cm. The length of the pipe is 35 cm. Find the mass of the pipe, if 1 cm^3 of wood has a mass of 0.6 g.'",'3.594 Kg','3.745 Kg','3.432 Kg','3.8 Kg',C,6.6
MTH_SAV_49,1,'The capacity of a closed cylindrical vessel of height 1 m is 15.4 litres. How many\\\\square metres of metal sheet would be needed to make it?','$0.4708 m^2$','$0.5938 m^2$','$0.4637 m^2$','$0.3900 m^2$',A,7.3
MTH_SAV_50,1,"'A lead pencil consists of a cylinder of wood with a solid cylinder of graphite filled in the interior. The diameter of the pencil is 7 mm and the diameter of the graphite is 1mm.If the length of the pencil is 14 cm, find the ratio of volume of the wood and that of the graphite.'",'2.00069444444444','1.75069444444444','1.41736111111111','1.87569444444444',A,5.4
MTH_SAV_51,1,"'A patient in a hospital is given soup daily in a cylindrical bowl of diameter 7 cm. If the bowl is filled with soup to a height of 4 cm, how much soup the hospital has to prepare daily to serve 250 patients?'",'40 L','35L','37.5 L','38.5 L',D,3.8
MTH_SAV_52,1,'Find the volume of the right circular cone with radius 6 cm and height 7 cm.','$264 cm^3$','$235 cm^3$','$277 cm^3$','$280 cm^3$',A,2.8
MTH_SAV_53,1,'Find the volume of the right circular cone with radius 3.5 cm and height 12 cm.','$153 cm^3$','$135 cm^3$','$154 cm^3$','$145 cm^3$',C,2.8
MTH_SAV_54,1,'Find the capacity in litres of a conical vessel with radius 7 cm and slant height 25 cm','1.200 L','1.232 L','1.245 L','1.243 L',B,4.5
MTH_SAV_55,1,'Find the capacity in litres of a conical vessel with radius 12 cm and slant height 13 cm','11/35 L','24/35 L','9/35 L','36/35 L',A,4.5
MTH_SAV_56,1,"'The height of a cone is 15 cm. If its volume is 1570 cm3 , find the radius of the base. (Use ? = 3.14)'",'20 cm','25 cm','15 cm','10 cm',D,2.8
MTH_SAV_57,1,"'If the volume of a right circular cone of height 9 cm is 48? cm3, find the diameter of its base.'",'8 cm','16 cm','10 cm','15 cm',A,2.8
MTH_SAV_58,1,'A conical pit of top diameter 3.5 m is 12 m deep. What is its capacity in kilolitres?','32.5 kL','33 kL','38.5 kL','40 kL',C,2.8
MTH_SAV_59,1,"'The volume of a right circular cone is 9856 cm3. If the diameter of the base is 28 cm,find curved surface area of the cone.'",'$2500 cm^2$','$2350 cm^2$','$2200 cm^2$','$2410 cm^2$',C,7
MTH_SAV_60,1,"'A right triangle ABC with sides 5 cm, 12 cm and 13 cm is revolved about the side 12 cm.Find the volume of the solid so obtained.'",'$95 \pi  cm^3$','$100 \pi  cm^3$','$110 \pi  cm^3$','$102 \pi  cm^3$',B,3.6
MTH_SAV_61,1,"'A right triangle ABC with sides 5 cm, 12 cm and 13 cm is revolved about the side 12 cm and 5 cm respectively, Find also the ratio of the volumes of the two solids.'",'0.3','0.425','0.341666666666667','0.216666666666667',D,4.2
MTH_SAV_62,1,'A heap of wheat is in the form of a cone whose diameter is 10.5 m and height is 3 m.The heap is to be covered by canvas to protect it from rain. Find the area of the canvas required.','$99.825 m^2$','$99.245 m^2$','$97.235 m^2$','$97.785 m^2$',A,5.1
MTH_SAV_63,1,'Find the volume of a sphere whose radius is 7 cm.','4312/3','4400/3','4450/3','4341/3',A,2
MTH_SAV_64,1,'Find the volume(approx) of a sphere whose radius is 0.63 cm.','$1.05 m^3$','$1.1 m^3$','$1.5 m^2$','$1.4 m^3$',A,2
MTH_SAV_65,1,'Find the amount of water displaced by a solid spherical ball of diameter 42 cm.','$36897 cm^3$','$32980 cm^3$','$38808 cm^3$','$36784 cm^3$',C,3.4
MTH_SAV_66,1,"'The diameter of a metallic ball is 4.2 cm. What is the mass of the ball, if the density of the metal is 8.9 g per cm3 ?'",'350.00 g','345.39 g','335.37 g','378.87 g',B,4.7
MTH_SAV_67,1,'The diameter of the moon is approximately one-fourth of the diameter of the earth. What fraction of the volume of the earth is the volume of the moon?','0.0638888888888889','0.0527777777777778','0.0472222222222222','0.0861111111111111',D,4
MTH_SAV_68,1,'How many litres of milk can a hemispherical bowl of diameter 10.5 cm hold?','0.404 L','0.540 L','0.303 L','0.606 L',C,4.4
MTH_SAV_69,1,"'A hemispherical tank is made up of an iron sheet 1 cm thick. If the inner radius is 1 m,then find the volume of the iron used to make the tank.'",'$0.6897 m^3$','$0.6348 m^3$','$0.6587 m^3$','$0.6630 m^3$',B,5.6
MTH_SAV_70,1,'Find the volume of a sphere whose surface area is 154 cm2.','539/3','584/3','575/3','509/3',A,4.7
MTH_SAV_71,1,"'A dome of a building is in the form of a hemisphere. From inside, it was white-washed at the cost of Rs 498.96. If the cost of white-washing is Rs 2.00 per square metre, find the volume of the air inside the dome.'",'$546.8 m^3$','$582.1 m^3$','$523.9 m^3$','$563.3 m^3$',C,9.6
MTH_SAV_72,1,"'Twenty seven solid iron spheres, each of radius r and surface area S are melted to form a sphere with surface area S?. Find the ratio of S and S?.'",'0.0472222222222222','0.0479166666666667','0.0430555555555556','0.0451388888888889',B,9.4
MTH_SAV_73,1,'A capsule of medicine is in the shape of a sphere of diameter 3.5 mm. How much medicine (in mm3) is needed to fill this capsule?','$20.2 mm^3$','$22.0 mm^3$','$21.0 mm^3$','$22.46 mm^3$',D,3.6
MTH_SAV_18,1,'Diameter of the base of a cone is 10.5 cm and its slant height is 10 cm. Find its curved surface area.','$139 cm^2$','$148 cm^2$','$165 cm^2$','$177 cm^2$',C,2.2
MTH_SAV_43,1,'A river 3 m deep and 40 m wide is flowing at the rate of 2 km per hour. How much water will fall into the sea in a minute?','$2000 m^2$','$4000 m^3$','$2500 m^3$','$3000 m^3$',B,7.2
